State_From,State_To,Count,Total_From,Share,Rank
Personal services,Public administration,4147,19652379,0.00021101770935722335,9
Personal services,"Agriculture, forestry and fishing",4066,19652379,0.000206896070954056,10
Personal services,Real estate and housing services,2028,19652379,0.00010319361335337568,11
Personal services,"Electricity, gas, water and waste management",1429,19652379,7.271384293982933e-05,12
Personal services,Mining,1042,19652379,5.302157056914076e-05,13
Public administration,Public administration,1963564,2047169,0.9591606750590693,1
Public administration,Unemployment,72260,2047169,0.035297525509618406,2
Public administration,Personal services,5136,2047169,0.002508830487370608,3
Public administration,Business services,1515,2047169,0.0007400463762395776,4
Public administration,Construction,1325,2047169,0.0006472352795494656,5
Public administration,"Wholesale and retail trade, accommodation and food services",1224,2047169,0.0005978988544668271,6
Public administration,"Transport, communications and information services",494,2047169,0.00024130885139429133,7
Public administration,"Agriculture, forestry and fishing",476,2047169,0.00023251622118154389,8
Public administration,Manufacturing,448,2047169,0.00021883879640615894,9
Public administration,Financial intermediation,447,2047169,0.0002183503169498952,10
Public administration,"Electricity, gas, water and waste management",149,2047169,7.27834389832984e-05,11
Public administration,Mining,75,2047169,3.6635959219781076e-05,12
Public administration,Real estate and housing services,56,2047169,2.7354849550769867e-05,13
Real estate and housing services,Real estate and housing services,982612,1045439,0.9399037150900243,1
Real estate and housing services,Unemployment,47696,1045439,0.045622939262836,2
Real estate and housing services,Construction,3514,1045439,0.003361267371888747,3
Real estate and housing services,"Wholesale and retail trade, accommodation and food services",2721,1045439,0.002602734353702129,4
Real estate and housing services,Business services,2690,1045439,0.002573081738867595,5
Real estate and housing services,Personal services,2466,1045439,0.00235881768328903,6
Real estate and housing services,Financial intermediation,1412,1045439,0.0013506287789148866,7
Real estate and housing services,"Transport, communications and information services",825,1045439,0.0007891421689835562,8
Real estate and housing services,Manufacturing,712,1045439,0.0006810536052318691,9
Real estate and housing services,"Agriculture, forestry and fishing",431,1045439,0.00041226699979625783,10
Real estate and housing services,Mining,192,1045439,0.00018365490478162763,11
Real estate and housing services,"Electricity, gas, water and waste management",101,1045439,9.661013220283536e-05,12
Real estate and housing services,Public administration,67,1045439,6.40879094810888e-05,13
"Transport, communications and information services","Transport, communications and information services",11502573,12139623,0.9475230820594676,1
"Transport, communications and information services",Unemployment,544430,12139623,0.04484735646238767,2
"Transport, communications and information services",Business services,26474,12139623,0.002180792599572491,3
"Transport, communications and information services","Wholesale and retail trade, accommodation and food services",16913,12139623,0.0013932063623392588,4
"Transport, communications and information services",Construction,13538,12139623,0.0011151911389670009,5
"Transport, communications and information services",Personal services,9663,12139623,0.0007959884750951492,6
"Transport, communications and information services",Financial intermediation,9605,12139623,0.0007912107319971962,7
"Transport, communications and information services",Manufacturing,7613,12139623,0.0006271199690468147,8
"Transport, communications and information services","Agriculture, forestry and fishing",4217,12139623,0.0003473748731735738,9
"Transport, communications and information services",Mining,1871,12139623,0.0001541234023494799,10
"Transport, communications and information services","Electricity, gas, water and waste management",1412,12139623,0.00011631333197085281,11
"Transport, communications and information services",Real estate and housing services,838,12139623,6.903015027731916e-05,12
"Transport, communications and information services",Public administration,476,12139623,3.921044335561327e-05,13
Unemployment,Unemployment,69478152,75992006,0.9142823785965066,1
Unemployment,Construction,1374379,75992006,0.018085836554966057,2
Unemployment,"Wholesale and retail trade, accommodation and food services",1161551,75992006,0.015285173548386129,3
Unemployment,Business services,1049866,75992006,0.01381547948609226,4
Unemployment,Personal services,693071,75992006,0.009120314576246348,5
Unemployment,"Agriculture, forestry and fishing",669152,75992006,0.008805557784591184,6
Unemployment,Manufacturing,553939,75992006,0.007289437786390321,7
Unemployment,"Transport, communications and information services",507708,75992006,0.0066810711642485135,8
Unemployment,Financial intermediation,191825,75992006,0.0025242786721540156,9
Unemployment,Mining,148203,75992006,0.0019502446086237018,10
Unemployment,Public administration,68048,75992006,0.0008954626095802761,11
Unemployment,"Electricity, gas, water and waste management",53069,75992006,0.0006983497711588242,12
Unemployment,Real estate and housing services,43043,75992006,0.0005664148410557816,13
"Wholesale and retail trade, accommodation and food services","Wholesale and retail trade, accommodation and food services",23779536,25235838,0.9422923066790966,1
"Wholesale and retail trade, accommodation and food services",Unemployment,1297190,25235838,0.05140269167998305,2
"Wholesale and retail trade, accommodation and food services",Business services,43749,25235838,0.0017336059931911119,3
"Wholesale and retail trade, accommodation and food services",Manufacturing,24952,25235838,0.000988752582735711,4
"Wholesale and retail trade, accommodation and food services",Personal services,21240,25235838,0.0008416601818413956,5
"Wholesale and retail trade, accommodation and food services",Construction,19319,25235838,0.0007655382793311638,6
"Wholesale and retail trade, accommodation and food services","Transport, communications and information services",17717,25235838,0.0007020571300227874,7
"Wholesale and retail trade, accommodation and food services",Financial intermediation,14316,25235838,0.0005672884728456412,8
"Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",10018,25235838,0.00039697512719807443,9
"Wholesale and retail trade, accommodation and food services",Real estate and housing services,2558,25235838,0.0001013637827283564,10
"Wholesale and retail trade, accommodation and food services",Mining,2449,25235838,9.704452849950931e-05,11
"Wholesale and retail trade, accommodation and food services","Electricity, gas, water and waste management",1453,25235838,5.7576847656099235e-05,12
"Wholesale and retail trade, accommodation and food services",Public administration,1341,25235838,5.313871487049489e-05,13
