index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
158,2021-03-01,2021-03-01,7,"Transport, communications and information services",71723,2021,3,71005.69222324346,71195.79166666667,227.30682641654857
159,2021-04-01,2021-04-01,7,"Transport, communications and information services",72296,2021,4,71769.1114940768,72003.58333333331,851.0890619540005
160,2021-05-01,2021-05-01,7,"Transport, communications and information services",72322,2021,5,72230.53857741013,72608.29166666666,1176.9413646159373
161,2021-06-01,2021-06-01,7,"Transport, communications and information services",72794,2021,6,73001.25472324346,73130.66666666666,1816.4368373887992
162,2021-07-01,2021-07-01,7,"Transport, communications and information services",73130,2021,7,73677.72301368463,73635.625,2366.3213340291695
163,2021-08-01,2021-08-01,7,"Transport, communications and information services",74043,2021,8,74827.65928819444,74112.29166666667,3394.579449930272
164,2021-09-01,2021-09-01,7,"Transport, communications and information services",75112,2021,9,75671.83820976307,74571.16666666667,4122.236345362457
165,2021-10-01,2021-10-01,7,"Transport, communications and information services",75365,2021,10,75577.73128574346,75007.33333333334,3916.9878322161385
166,2021-11-01,2021-11-01,7,"Transport, communications and information services",75882,2021,11,75972.01513991013,75394.5,4205.703031424113
167,2021-12-01,2021-12-01,7,"Transport, communications and information services",76752,2021,12,76530.06201491013,75742.75,4663.916459120184
168,2022-01-01,2022-01-01,7,"Transport, communications and information services",76356,2022,1,75966.06982741013,76062.91666666667,4005.955854045489
169,2022-02-01,2022-02-01,7,"Transport, communications and information services",76345,2022,2,75890.30420241013,76337.79166666667,3842.1806762647757
170,2022-03-01,2022-03-01,7,"Transport, communications and information services",77191,2022,3,76473.69222324346,76537.75,4343.580934022946
171,2022-04-01,2022-04-01,7,"Transport, communications and information services",77296,2022,4,76769.1114940768,76661.83333333333,4563.067509942368
172,2022-05-01,2022-05-01,7,"Transport, communications and information services",76614,2022,5,76522.53857741013,76744.45833333333,4246.616729693764
173,2022-06-01,2022-06-01,7,"Transport, communications and information services",76860,2022,6,77067.25472324346,76669.125,4727.474397593629
174,2022-07-01,2022-07-01,7,"Transport, communications and information services",76748,2022,7,77295.72301368463,76456.12499999999,4898.035382961898
175,2022-08-01,2022-08-01,7,"Transport, communications and information services",77022,2022,8,77806.65928819444,76237.58333333334,5356.910835045535
176,2022-09-01,2022-09-01,7,"Transport, communications and information services",76932,2022,9,77491.83820976307,75959.79166666666,4995.732933137988
177,2022-10-01,2022-10-01,7,"Transport, communications and information services",76523,2022,10,76735.73128574346,75630.70833333333,4198.789366706915
178,2022-11-01,2022-11-01,7,"Transport, communications and information services",76707,2022,11,76797.01513991013,75146.91666666666,4224.534394319548
179,2022-12-01,2022-12-01,7,"Transport, communications and information services",74119,2022,12,73897.06201491013,74494.12499999999,1294.085495349529
180,2023-01-01,2023-01-01,7,"Transport, communications and information services",73877,2023,1,73487.06982741013,73810.5,858.3532264741516
181,2023-02-01,2023-02-01,7,"Transport, communications and information services",73579,2023,2,73124.30420241013,73101.08333333333,474.30586747643247
